patch_key,fold_id,patch_index,class_index,class_name,channel_index,instance_id,total_pixel_count,overlap_pixel_count,positive_background_pixel_count,overlapping_class_indices,overlapping_instance_ids,overlapping_instance_ids_by_class,touches_cross_class_overlap,analysis_eligible,primary_eligible,confirmatory_eligible,analysis_exclusion_reason
fold_1:patch_81,1,81,0,neoplastic,0,218,4015,2,0,[2],[1],"{""connective_soft_tissue"": [1]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_81,1,81,2,connective_soft_tissue,2,1,401,2,0,[0],[218],"{""neoplastic"": [218]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_86,1,86,1,inflammatory,1,437,119,7,0,[4],[440],"{""non_neoplastic_epithelial"": [440]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_86,1,86,4,non_neoplastic_epithelial,4,440,240,7,0,[1],[437],"{""inflammatory"": [437]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_119,1,119,0,neoplastic,0,280,810,1,0,[1],[307],"{""inflammatory"": [307]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_119,1,119,0,neoplastic,0,406,1251,10,0,[1],[389],"{""inflammatory"": [389]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_119,1,119,0,neoplastic,0,439,220,2,0,[1],[432],"{""inflammatory"": [432]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_119,1,119,1,inflammatory,1,307,629,1,0,[0],[280],"{""neoplastic"": [280]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_119,1,119,1,inflammatory,1,389,691,10,0,[0],[406],"{""neoplastic"": [406]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_119,1,119,1,inflammatory,1,432,343,2,0,[0],[439],"{""neoplastic"": [439]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_122,1,122,0,neoplastic,0,550,1806,13,0,[2],[566],"{""connective_soft_tissue"": [566]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_122,1,122,2,connective_soft_tissue,2,566,966,13,0,[0],[550],"{""neoplastic"": [550]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_129,1,129,1,inflammatory,1,233,159,1,0,[2],[239],"{""connective_soft_tissue"": [239]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_129,1,129,2,connective_soft_tissue,2,239,206,1,0,[1],[233],"{""inflammatory"": [233]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_185,1,185,1,inflammatory,1,396,230,2,0,[2],[375],"{""connective_soft_tissue"": [375]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_185,1,185,2,connective_soft_tissue,2,375,289,2,0,[1],[396],"{""inflammatory"": [396]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_228,1,228,1,inflammatory,1,137,322,5,0,[2],[134],"{""connective_soft_tissue"": [134]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_228,1,228,2,connective_soft_tissue,2,134,238,5,0,[1],[137],"{""inflammatory"": [137]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_232,1,232,1,inflammatory,1,174,427,2,0,[4],[186],"{""non_neoplastic_epithelial"": [186]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_232,1,232,1,inflammatory,1,218,609,7,0,[4],[210],"{""non_neoplastic_epithelial"": [210]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_232,1,232,4,non_neoplastic_epithelial,4,186,353,2,0,[1],[174],"{""inflammatory"": [174]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_232,1,232,4,non_neoplastic_epithelial,4,210,218,7,0,[1],[218],"{""inflammatory"": [218]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_246,1,246,1,inflammatory,1,85,354,1,0,[4],[88],"{""non_neoplastic_epithelial"": [88]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_246,1,246,4,non_neoplastic_epithelial,4,88,319,1,0,[1],[85],"{""inflammatory"": [85]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_248,1,248,1,inflammatory,1,210,317,14,0,[4],[213],"{""non_neoplastic_epithelial"": [213]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_248,1,248,1,inflammatory,1,247,253,8,0,[4],[233],"{""non_neoplastic_epithelial"": [233]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_248,1,248,4,non_neoplastic_epithelial,4,213,482,14,0,[1],[210],"{""inflammatory"": [210]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_248,1,248,4,non_neoplastic_epithelial,4,233,259,8,0,[1],[247],"{""inflammatory"": [247]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_261,1,261,0,neoplastic,0,60,1736,5,0,[1],[70],"{""inflammatory"": [70]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_261,1,261,1,inflammatory,1,70,244,5,0,[0],[60],"{""neoplastic"": [60]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_271,1,271,1,inflammatory,1,240,305,2,0,[2],[230],"{""connective_soft_tissue"": [230]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_271,1,271,1,inflammatory,1,375,224,14,0,[2],[373],"{""connective_soft_tissue"": [373]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_271,1,271,2,connective_soft_tissue,2,230,1323,2,0,[1],[240],"{""inflammatory"": [240]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_271,1,271,2,connective_soft_tissue,2,373,303,14,0,[1],[375],"{""inflammatory"": [375]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_282,1,282,1,inflammatory,1,276,183,1,0,[2],[222],"{""connective_soft_tissue"": [222]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_282,1,282,2,connective_soft_tissue,2,222,591,1,0,[1],[276],"{""inflammatory"": [276]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_326,1,326,0,neoplastic,0,188,583,2,0,[1],[190],"{""inflammatory"": [190]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_326,1,326,1,inflammatory,1,190,476,2,0,[0],[188],"{""neoplastic"": [188]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_331,1,331,0,neoplastic,0,159,170,2,0,[2],[167],"{""connective_soft_tissue"": [167]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_331,1,331,2,connective_soft_tissue,2,167,535,2,0,[0],[159],"{""neoplastic"": [159]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_333,1,333,0,neoplastic,0,291,810,12,0,[2],[298],"{""connective_soft_tissue"": [298]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_333,1,333,2,connective_soft_tissue,2,298,386,12,0,[0],[291],"{""neoplastic"": [291]}",true,false,false,false,touches_cross_class_overlap
fold_1:patch_386,1,386,1,inflammatory,1,298,169,13,0,[2],[292],"{""connective_soft_tissue"": [292]}",true,false,false,false,touches_cross_class_overlap
