relative_path,size_bytes,mtime_ns_before,sha256,crc32,suffix,array_shape,array_dtype,array_dtype_str,array_nbytes,npy_header_bytes,fortran_order,c_contiguous
data/raw/pannuke/.gitkeep,82,1784295049352706600,55fbcbe801a5bee5a90bac5de5e3202cbad9e1e7546745cf15eadd2990f0efb7,ead75ec3,,,,,,,,
data/raw/pannuke/Fold 1/images/fold1/images.npy,4177526912,1572262200000000000,32b7de139650ecc07907072cb2cc45de69cd5e51b8252bd69eff271554ec324b,9e43a330,.npy,2656x256x256x3,float64,<f8,4177526784,128,False,True
data/raw/pannuke/Fold 1/images/fold1/types.npy,138240,1572262254000000000,64746d127bc28e88be6fdc4639af4f21a91fb1fda00e68869ea5fe61a574f615,5cf6c60a,.npy,2656,<U13,<U13,138112,128,False,True
data/raw/pannuke/Fold 1/masks/by-nc-sa.md,19089,1564770602000000000,3e976176dec037ecb34de78f6b67040dee8d015915d702854c6c8b2308fcb557,45776983,.md,,,,,,,
data/raw/pannuke/Fold 1/masks/fold1/masks.npy,8355053696,1572262254000000000,31d9817cd3cddef742157f79d53eb80e37844a30b2b44c8c98825b476b4245b2,6a3f7bb3,.npy,2656x256x256x6,float64,<f8,8355053568,128,False,True
data/raw/pannuke/Fold 1/masks/README.md,1253,1585402018000000000,40c496eccea58d74bddf4a4b8674366c21e3b2b53c62cd12777eaa09e811b876,80ac17ea,.md,,,,,,,
data/raw/pannuke/Fold 1/README.md,2146,1585402008000000000,822161f414a8dceda0eeadac17256b2a9f24e33ddc01bbb2c8da49e2dc6c0667,eb078a77,.md,,,,,,,
data/raw/pannuke/Fold 2/images/fold2/images.npy,3968336000,1572262344000000000,ff0c1b68b1f1019b78a2e70d04b04326d1c5334d65b8aed31f50f6835a61d61d,3389d7ce,.npy,2523x256x256x3,float64,<f8,3968335872,128,False,True
data/raw/pannuke/Fold 2/images/fold2/types.npy,131324,1572262394000000000,8a960439d4dbe09b762f2c5ba81ee0476dd4ab2e6007a9c246ede30d0327356c,da961669,.npy,2523,<U13,<U13,131196,128,False,True
data/raw/pannuke/Fold 2/masks/by-nc-sa.md,19089,1564770602000000000,3e976176dec037ecb34de78f6b67040dee8d015915d702854c6c8b2308fcb557,45776983,.md,,,,,,,
data/raw/pannuke/Fold 2/masks/fold2/masks.npy,7936671872,1572262394000000000,e8e8c8c1406c0368befb617bea52ec23b623f8196e4d46e4e6eb893446ae03af,2a2c5c72,.npy,2523x256x256x6,float64,<f8,7936671744,128,False,True
data/raw/pannuke/Fold 2/masks/README.md,1270,1585401972000000000,26e1c75af0d0129ec6ae786d2aca0b05b9bd4cf22c9036d9239d6f04e7d465ed,9ec24c49,.md,,,,,,,
data/raw/pannuke/Fold 2/README.md,2127,1585401768000000000,959c804b969013fca21362f33a547db7edc7775a96355f99714217ac0144ebdb,28b64d6c,.md,,,,,,,
data/raw/pannuke/Fold 3/images/fold3/images.npy,4281335936,1572262420000000000,cc9112bd54e4cf49d8cf3886163196263ef5dfe3341e6967940c6bd976ad7bf9,1d472bd8,.npy,2722x256x256x3,float64,<f8,4281335808,128,False,True
data/raw/pannuke/Fold 3/images/fold3/types.npy,141672,1572262502000000000,b8f0b3b5b0cf9e4024c939c8b1bc6333745f1e6827f6f15cd3a635e8546ec736,e45dfded,.npy,2722,<U13,<U13,141544,128,False,True
data/raw/pannuke/Fold 3/masks/by-nc-sa.md,19089,1564770602000000000,3e976176dec037ecb34de78f6b67040dee8d015915d702854c6c8b2308fcb557,45776983,.md,,,,,,,
data/raw/pannuke/Fold 3/masks/fold3/masks.npy,8562671744,1572262502000000000,79c36441a2fc8ff3a01404cd059a6c36bce3b8343838f3a5961f6f6dff15fa4c,dd14a425,.npy,2722x256x256x6,float64,<f8,8562671616,128,False,True
data/raw/pannuke/Fold 3/masks/README.md,1253,1585401992000000000,40c496eccea58d74bddf4a4b8674366c21e3b2b53c62cd12777eaa09e811b876,80ac17ea,.md,,,,,,,
data/raw/pannuke/Fold 3/README.md,2146,1585401984000000000,9ddb68726215fb117406f23c6cb9018f589b7893d7e92aaf25745f577b69d336,5f6e6372,.md,,,,,,,
data/raw/pannuke/fold_1.zip,700275281,1784318810419688900,6e19ad380300e8ce9480f9ab6a14cc91fa4b6a511609b40e3d70bdf9c881ed0b,65d5c970,.zip,,,,,,,
data/raw/pannuke/fold_2.zip,658842552,1784318887518038800,5bc540cc509f64b5f5a274d6e5a245527dbd3e6d3155d43555115c5d54709b07,5ee84e9c,.zip,,,,,,,
data/raw/pannuke/fold_3.zip,717969882,1784318367130122800,c14d372981c42f611ebc80afad01702b89cad8c1b3089daa31931cf5a4b1a39d,3f85846b,.zip,,,,,,,
