fold_id,left_class_index,left_class_name,right_class_index,right_class_name,overlap_pixels
1,0,neoplastic,1,inflammatory,210
1,0,neoplastic,2,connective_soft_tissue,362
1,0,neoplastic,3,dead,19
1,0,neoplastic,4,non_neoplastic_epithelial,45
1,1,inflammatory,2,connective_soft_tissue,377
1,1,inflammatory,3,dead,0
1,1,inflammatory,4,non_neoplastic_epithelial,110
1,2,connective_soft_tissue,3,dead,1
1,2,connective_soft_tissue,4,non_neoplastic_epithelial,92
1,3,dead,4,non_neoplastic_epithelial,0
2,0,neoplastic,1,inflammatory,169
2,0,neoplastic,2,connective_soft_tissue,374
2,0,neoplastic,3,dead,10
2,0,neoplastic,4,non_neoplastic_epithelial,84
2,1,inflammatory,2,connective_soft_tissue,707
2,1,inflammatory,3,dead,1
2,1,inflammatory,4,non_neoplastic_epithelial,88
2,2,connective_soft_tissue,3,dead,0
2,2,connective_soft_tissue,4,non_neoplastic_epithelial,139
2,3,dead,4,non_neoplastic_epithelial,0
3,0,neoplastic,1,inflammatory,343
3,0,neoplastic,2,connective_soft_tissue,347
3,0,neoplastic,3,dead,14
3,0,neoplastic,4,non_neoplastic_epithelial,241
3,1,inflammatory,2,connective_soft_tissue,377
3,1,inflammatory,3,dead,0
3,1,inflammatory,4,non_neoplastic_epithelial,143
3,2,connective_soft_tissue,3,dead,21
3,2,connective_soft_tissue,4,non_neoplastic_epithelial,44
3,3,dead,4,non_neoplastic_epithelial,0
