fold_id,patch_index,class_index,class_name,instance_id,total_instance_pixels,cross_class_overlap_pixels,overlapping_instance_keys
1,81,0,neoplastic,218,4015,2,2:1
1,81,2,connective_soft_tissue,1,401,2,0:218
1,86,1,inflammatory,437,119,7,4:440
1,86,4,non_neoplastic_epithelial,440,240,7,1:437
1,119,0,neoplastic,280,810,1,1:307
1,119,0,neoplastic,406,1251,10,1:389
1,119,0,neoplastic,439,220,2,1:432
1,119,1,inflammatory,307,629,1,0:280
1,119,1,inflammatory,389,691,10,0:406
1,119,1,inflammatory,432,343,2,0:439
1,122,0,neoplastic,550,1806,13,2:566
1,122,2,connective_soft_tissue,566,966,13,0:550
1,129,1,inflammatory,233,159,1,2:239
1,129,2,connective_soft_tissue,239,206,1,1:233
1,185,1,inflammatory,396,230,2,2:375
1,185,2,connective_soft_tissue,375,289,2,1:396
1,228,1,inflammatory,137,322,5,2:134
1,228,2,connective_soft_tissue,134,238,5,1:137
1,232,1,inflammatory,174,427,2,4:186
1,232,1,inflammatory,218,609,7,4:210
1,232,4,non_neoplastic_epithelial,186,353,2,1:174
1,232,4,non_neoplastic_epithelial,210,218,7,1:218
1,246,1,inflammatory,85,354,1,4:88
1,246,4,non_neoplastic_epithelial,88,319,1,1:85
1,248,1,inflammatory,210,317,14,4:213
1,248,1,inflammatory,247,253,8,4:233
1,248,4,non_neoplastic_epithelial,213,482,14,1:210
1,248,4,non_neoplastic_epithelial,233,259,8,1:247
1,261,0,neoplastic,60,1736,5,1:70
1,261,1,inflammatory,70,244,5,0:60
1,271,1,inflammatory,240,305,2,2:230
1,271,1,inflammatory,375,224,14,2:373
1,271,2,connective_soft_tissue,230,1323,2,1:240
1,271,2,connective_soft_tissue,373,303,14,1:375
1,282,1,inflammatory,276,183,1,2:222
1,282,2,connective_soft_tissue,222,591,1,1:276
1,326,0,neoplastic,188,583,2,1:190
1,326,1,inflammatory,190,476,2,0:188
1,331,0,neoplastic,159,170,2,2:167
1,331,2,connective_soft_tissue,167,535,2,0:159
1,333,0,neoplastic,291,810,12,2:298
1,333,2,connective_soft_tissue,298,386,12,0:291
1,386,1,inflammatory,298,169,13,2:292
1,386,1,inflammatory,412,229,4,2:424
1,386,2,connective_soft_tissue,292,399,13,1:298
1,386,2,connective_soft_tissue,424,320,4,1:412
1,467,0,neoplastic,110,659,4,1:112
1,467,1,inflammatory,112,566,4,0:110
1,527,0,neoplastic,198,1374,6,2:200
1,527,0,neoplastic,206,1024,3,2:200
1,527,2,connective_soft_tissue,200,666,9,0:198;0:206
1,528,0,neoplastic,193,594,10,1:384
1,528,0,neoplastic,201,503,12,1:384
1,528,1,inflammatory,384,427,22,0:193;0:201
1,533,0,neoplastic,40,449,11,2:46
1,533,2,connective_soft_tissue,46,829,11,0:40
1,534,0,neoplastic,32,757,14,2:421
1,534,2,connective_soft_tissue,421,628,14,0:32
1,550,0,neoplastic,17,1026,1,1:351
1,550,1,inflammatory,351,195,1,0:17
1,556,0,neoplastic,47,855,2,2:66
1,556,0,neoplastic,91,635,10,1:92
1,556,1,inflammatory,92,462,10,0:91
1,556,2,connective_soft_tissue,66,569,2,0:47
1,578,0,neoplastic,157,613,1,2:150
1,578,2,connective_soft_tissue,150,352,1,0:157
1,623,1,inflammatory,292,195,9,4:295
1,623,4,non_neoplastic_epithelial,295,235,9,1:292
1,652,0,neoplastic,166,496,9,2:167
1,652,2,connective_soft_tissue,167,872,9,0:166
1,663,1,inflammatory,62,352,1,2:68
1,663,2,connective_soft_tissue,68,581,1,1:62
1,686,0,neoplastic,77,1967,1,1:73
1,686,1,inflammatory,12,418,5,2:14
1,686,1,inflammatory,73,256,1,0:77
1,686,2,connective_soft_tissue,14,703,5,1:12
1,738,1,inflammatory,11,215,2,2:12
1,738,2,connective_soft_tissue,12,408,2,1:11
1,741,0,neoplastic,260,155,4,2:253
1,741,2,connective_soft_tissue,253,190,4,0:260
1,743,0,neoplastic,337,450,3,2:340
1,743,2,connective_soft_tissue,340,539,3,0:337
1,744,1,inflammatory,274,244,2,2:266
1,744,2,connective_soft_tissue,266,279,2,1:274
1,751,1,inflammatory,60,313,1,2:50
1,751,2,connective_soft_tissue,50,447,1,1:60
1,754,0,neoplastic,46,749,6,2:45
1,754,2,connective_soft_tissue,45,333,6,0:46
1,766,0,neoplastic,166,353,1,1:158
1,766,1,inflammatory,158,533,1,0:166
1,769,0,neoplastic,265,245,2,1:271
1,769,1,inflammatory,271,210,2,0:265
1,786,0,neoplastic,179,287,10,2:188
1,786,0,neoplastic,222,290,1,1:209
1,786,1,inflammatory,209,511,1,0:222
1,786,2,connective_soft_tissue,188,163,10,0:179
1,818,1,inflammatory,1385,238,18,2:1041
1,818,2,connective_soft_tissue,1041,173,18,1:1385
1,826,1,inflammatory,436,356,4,2:407
1,826,2,connective_soft_tissue,407,296,4,1:436
1,827,1,inflammatory,821,380,2,2:825
1,827,1,inflammatory,881,211,1,2:900
1,827,2,connective_soft_tissue,825,401,2,1:821
1,827,2,connective_soft_tissue,900,529,1,1:881
1,842,1,inflammatory,47,655,2,2:40
1,842,2,connective_soft_tissue,40,556,2,1:47
1,845,1,inflammatory,388,227,1,2:370
1,845,1,inflammatory,456,385,3,2:443
1,845,1,inflammatory,477,245,3,2:466
1,845,2,connective_soft_tissue,370,339,1,1:388
1,845,2,connective_soft_tissue,443,443,3,1:456
1,845,2,connective_soft_tissue,466,265,3,1:477
1,866,1,inflammatory,175,268,1,2:182
1,866,2,connective_soft_tissue,182,571,1,1:175
1,879,0,neoplastic,24,787,3,2:27
1,879,2,connective_soft_tissue,27,552,3,0:24
1,883,0,neoplastic,284,531,2,2:275
1,883,2,connective_soft_tissue,275,594,2,0:284
1,890,0,neoplastic,103,770,4,2:120
1,890,2,connective_soft_tissue,120,424,4,0:103
1,893,0,neoplastic,22,1131,5,2:43
1,893,2,connective_soft_tissue,43,466,5,0:22
1,906,0,neoplastic,304,1168,8,2:292
1,906,2,connective_soft_tissue,292,328,8,0:304
1,910,0,neoplastic,161,669,3,2:174
1,910,2,connective_soft_tissue,174,839,3,0:161
1,934,0,neoplastic,123,538,4,2:119
1,934,2,connective_soft_tissue,119,388,4,0:123
1,944,0,neoplastic,17,699,4,1:10
1,944,1,inflammatory,10,388,4,0:17
1,966,1,inflammatory,260,37,1,2:236
1,966,2,connective_soft_tissue,236,799,1,1:260
1,985,0,neoplastic,1002,253,2,1:1023
1,985,1,inflammatory,1023,221,2,0:1002
1,1018,1,inflammatory,46,413,5,2:50
1,1018,2,connective_soft_tissue,50,478,5,1:46
1,1027,0,neoplastic,855,57,1,3:863
1,1027,3,dead,863,92,1,0:855
1,1030,0,neoplastic,1216,201,6,3:1218
1,1030,3,dead,1218,98,6,0:1216
1,1031,0,neoplastic,1292,320,7,3:1318;3:1330
1,1031,3,dead,1318,235,4,0:1292
1,1031,3,dead,1330,85,3,0:1292
1,1035,2,connective_soft_tissue,2382,151,1,3:2371
1,1035,3,dead,2371,217,1,2:2382
1,1061,1,inflammatory,925,63,2,2:911
1,1061,1,inflammatory,1140,46,1,2:1168
1,1061,2,connective_soft_tissue,911,35,2,1:925
1,1061,2,connective_soft_tissue,1168,74,1,1:1140
1,1062,1,inflammatory,897,65,4,2:856
1,1062,1,inflammatory,903,57,4,2:850
1,1062,1,inflammatory,936,176,1,2:913
1,1062,2,connective_soft_tissue,850,110,4,1:903
1,1062,2,connective_soft_tissue,856,87,4,1:897
1,1062,2,connective_soft_tissue,913,68,1,1:936
1,1063,1,inflammatory,717,92,3,2:705
1,1063,2,connective_soft_tissue,705,165,3,1:717
1,1070,1,inflammatory,900,57,1,2:901
1,1070,2,connective_soft_tissue,901,223,1,1:900
1,1073,1,inflammatory,328,441,2,2:316
1,1073,2,connective_soft_tissue,316,801,2,1:328
1,1096,2,connective_soft_tissue,36,371,12,4:40
1,1096,4,non_neoplastic_epithelial,40,525,12,2:36
1,1133,0,neoplastic,64,705,8,2:72
1,1133,2,connective_soft_tissue,72,704,8,0:64
1,1144,0,neoplastic,1023,95,6,2:1047
1,1144,2,connective_soft_tissue,1047,152,6,0:1023
1,1146,0,neoplastic,1395,794,9,2:1420
1,1146,2,connective_soft_tissue,1420,464,9,0:1395
1,1174,0,neoplastic,246,525,7,1:244
1,1174,1,inflammatory,244,434,7,0:246
1,1177,0,neoplastic,261,553,2,2:284
1,1177,2,connective_soft_tissue,284,166,2,0:261
1,1180,1,inflammatory,441,476,8,2:437
1,1180,2,connective_soft_tissue,437,630,8,1:441
1,1181,0,neoplastic,439,472,3,2:424
1,1181,2,connective_soft_tissue,424,589,3,0:439
1,1182,0,neoplastic,470,1367,5,2:475
1,1182,2,connective_soft_tissue,475,402,5,0:470
1,1183,0,neoplastic,708,362,3,2:718
1,1183,2,connective_soft_tissue,718,286,3,0:708
1,1187,0,neoplastic,793,740,7,2:796
1,1187,2,connective_soft_tissue,796,213,7,0:793
1,1231,0,neoplastic,358,524,9,1:355
1,1231,1,inflammatory,355,441,9,0:358
1,1245,1,inflammatory,208,377,2,2:206
1,1245,2,connective_soft_tissue,206,1076,2,1:208
1,1257,0,neoplastic,775,1115,1,2:408
1,1257,2,connective_soft_tissue,408,758,1,0:775
1,1267,1,inflammatory,374,412,5,4:384
1,1267,4,non_neoplastic_epithelial,384,523,5,1:374
1,1268,0,neoplastic,1286,655,6,4:387
1,1268,4,non_neoplastic_epithelial,387,594,6,0:1286
1,1273,2,connective_soft_tissue,723,273,1,4:722
1,1273,4,non_neoplastic_epithelial,722,426,1,2:723
1,1278,2,connective_soft_tissue,1150,677,7,4:1153
1,1278,4,non_neoplastic_epithelial,1153,457,7,2:1150
1,1280,1,inflammatory,173,339,4,2:164
1,1280,2,connective_soft_tissue,164,472,4,1:173
1,1284,1,inflammatory,55,253,2,2:51
1,1284,2,connective_soft_tissue,51,400,2,1:55
1,1321,0,neoplastic,57,1615,2,1:47
1,1321,1,inflammatory,47,269,2,0:57
1,1323,0,neoplastic,160,1488,19,1:157
1,1323,1,inflammatory,157,395,19,0:160
1,1333,1,inflammatory,643,214,2,2:651
1,1333,2,connective_soft_tissue,651,250,2,1:643
1,1355,1,inflammatory,906,210,1,2:894
1,1355,2,connective_soft_tissue,894,344,1,1:906
1,1358,1,inflammatory,1236,231,1,2:1244
1,1358,2,connective_soft_tissue,1244,554,1,1:1236
1,1365,1,inflammatory,1489,378,10,2:1472
1,1365,2,connective_soft_tissue,1472,314,10,1:1489
1,1377,0,neoplastic,218,1149,1,2:225
1,1377,0,neoplastic,260,573,1,2:269
1,1377,2,connective_soft_tissue,225,694,1,0:218
1,1377,2,connective_soft_tissue,269,256,1,0:260
1,1383,1,inflammatory,602,110,4,2:597
1,1383,2,connective_soft_tissue,597,228,4,1:602
1,1384,0,neoplastic,532,1008,4,2:544
1,1384,2,connective_soft_tissue,544,320,4,0:532
1,1391,0,neoplastic,83,646,1,2:79
1,1391,2,connective_soft_tissue,79,225,1,0:83
1,1462,0,neoplastic,126,365,3,1:115
1,1462,1,inflammatory,115,526,3,0:126
1,1477,0,neoplastic,1492,489,2,2:1506
1,1477,2,connective_soft_tissue,1506,416,2,0:1492
1,1558,0,neoplastic,119,580,2,1:113
1,1558,1,inflammatory,113,227,2,0:119
1,1560,1,inflammatory,151,396,8,2:144
1,1560,2,connective_soft_tissue,144,252,8,1:151
1,1582,1,inflammatory,126,320,7,2:128
1,1582,1,inflammatory,198,464,14,4:429
1,1582,2,connective_soft_tissue,128,636,7,1:126
1,1582,4,non_neoplastic_epithelial,429,570,14,1:198
1,1584,1,inflammatory,371,498,8,2:374
1,1584,2,connective_soft_tissue,374,626,8,1:371
1,1606,1,inflammatory,129,329,6,2:125
1,1606,2,connective_soft_tissue,125,234,6,1:129
1,1610,0,neoplastic,142,1143,6,2:146
1,1610,2,connective_soft_tissue,146,437,6,0:142
1,1611,0,neoplastic,170,507,7,2:175
1,1611,2,connective_soft_tissue,175,398,7,0:170
1,1621,1,inflammatory,81,778,2,2:97
1,1621,2,connective_soft_tissue,97,582,2,1:81
1,1622,1,inflammatory,188,362,5,2:200
1,1622,2,connective_soft_tissue,200,755,5,1:188
1,1623,1,inflammatory,177,141,1,2:183
1,1623,2,connective_soft_tissue,183,216,1,1:177
1,1625,0,neoplastic,458,1229,22,2:367
1,1625,2,connective_soft_tissue,367,395,22,0:458
1,1647,1,inflammatory,232,298,1,2:235
1,1647,2,connective_soft_tissue,235,191,1,1:232
1,1649,1,inflammatory,405,360,5,2:403
1,1649,2,connective_soft_tissue,403,565,5,1:405
1,1691,1,inflammatory,223,136,3,2:218
1,1691,2,connective_soft_tissue,218,578,3,1:223
1,1726,0,neoplastic,162,218,9,2:172
1,1726,0,neoplastic,221,276,2,2:225
1,1726,2,connective_soft_tissue,172,158,9,0:162
1,1726,2,connective_soft_tissue,225,80,2,0:221
1,1727,0,neoplastic,313,215,1,2:303
1,1727,2,connective_soft_tissue,303,147,1,0:313
1,1728,0,neoplastic,146,224,4,2:160
1,1728,0,neoplastic,199,271,1,2:195
1,1728,2,connective_soft_tissue,160,86,4,0:146
1,1728,2,connective_soft_tissue,195,124,1,0:199
1,1732,1,inflammatory,37,396,9,2:33
1,1732,2,connective_soft_tissue,33,617,9,1:37
1,1733,0,neoplastic,71,730,2,2:86
1,1733,2,connective_soft_tissue,86,344,2,0:71
1,1739,1,inflammatory,358,178,2,2:349
1,1739,2,connective_soft_tissue,349,330,2,1:358
