fold_id,patch_index,cross_class_overlap_pixels,positive_background_pixels,background_only_pixels,positive_only_pixels,all_zero_pixels,void_pixels,background_complement_mismatch_pixels,affected_instance_keys,affected_class_count,affected_class_indices,cross_channel_duplicate_instance_ids
1,0,0,0,59200,6336,0,0,0,0,0,,0
1,1,0,0,56815,8721,0,0,0,0,0,,0
1,2,0,0,52124,13412,0,0,0,0,0,,0
1,3,0,0,52742,12794,0,0,0,0,0,,0
1,4,0,0,59386,6150,0,0,0,0,0,,0
1,5,0,0,58610,6926,0,0,0,0,0,,0
1,6,0,0,55051,10485,0,0,0,0,0,,0
1,7,0,0,51150,14386,0,0,0,0,0,,0
1,8,0,0,54583,10953,0,0,0,0,0,,0
1,9,0,0,57924,7612,0,0,0,0,0,,0
1,10,0,0,48208,17328,0,0,0,0,0,,0
1,11,0,0,55164,10372,0,0,0,0,0,,0
1,12,0,0,57809,7727,0,0,0,0,0,,0
1,13,0,0,57011,8525,0,0,0,0,0,,0
1,14,0,0,57083,8453,0,0,0,0,0,,0
1,15,0,0,55934,9602,0,0,0,0,0,,0
1,16,0,0,56401,9135,0,0,0,0,0,,0
1,17,0,0,52734,12802,0,0,0,0,0,,0
1,18,0,0,58700,6836,0,0,0,0,0,,0
1,19,0,0,59932,5604,0,0,0,0,0,,0
1,20,0,0,56368,9168,0,0,0,0,0,,0
1,21,0,0,52290,13246,0,0,0,0,0,,0
1,22,0,0,53540,11996,0,0,0,0,0,,0
1,23,0,0,59311,6225,0,0,0,0,0,,0
1,24,0,0,53668,11868,0,0,0,0,0,,0
1,25,0,0,52040,13496,0,0,0,0,0,,0
1,26,0,0,56834,8702,0,0,0,0,0,,0
1,27,0,0,58364,7172,0,0,0,0,0,,0
1,28,0,0,56290,9246,0,0,0,0,0,,0
1,29,0,0,56455,9081,0,0,0,0,0,,0
1,30,0,0,54860,10676,0,0,0,0,0,,0
1,31,0,0,58050,7486,0,0,0,0,0,,0
1,32,0,0,59056,6480,0,0,0,0,0,,0
1,33,0,0,47665,17871,0,0,0,0,0,,0
1,34,0,0,57738,7798,0,0,0,0,0,,0
1,35,0,0,54430,11106,0,0,0,0,0,,0
1,36,0,0,54790,10746,0,0,0,0,0,,0
1,37,0,0,62341,3195,0,0,0,0,0,,0
1,38,0,0,62386,3150,0,0,0,0,0,,0
1,39,0,0,54428,11108,0,0,0,0,0,,0
1,40,0,0,60022,5514,0,0,0,0,0,,0
1,41,0,0,61237,4299,0,0,0,0,0,,0
1,42,0,0,55802,9734,0,0,0,0,0,,0
1,43,0,0,59873,5663,0,0,0,0,0,,0
1,44,0,0,61434,4102,0,0,0,0,0,,0
1,45,0,0,56127,9409,0,0,0,0,0,,0
1,46,0,0,56842,8694,0,0,0,0,0,,0
1,47,0,0,57074,8462,0,0,0,0,0,,0
