run_id,experiment_name,status,started_at,completed_at,config_sha256,git_state,dataset_sha256,manifest_sha256,split_seed,model_seed,corruption_seed,run_path
20260717T135020.241788Z_synthetic_smoke_b186b1b259,synthetic_smoke,failed,2026-07-17T13:50:20.350Z,2026-07-17T13:50:23.214Z,cb20541df5960a479fed9d3b2f349ce691116fdcaa87e0053621b264a7332d8e,unborn+dirty,,,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T135020.241788Z_synthetic_smoke_b186b1b259
20260717T135221.123060Z_synthetic_smoke_5174a753aa,synthetic_smoke,failed,2026-07-17T13:52:21.234Z,2026-07-17T13:52:24.230Z,cb20541df5960a479fed9d3b2f349ce691116fdcaa87e0053621b264a7332d8e,unborn+dirty,,,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T135221.123060Z_synthetic_smoke_5174a753aa
20260717T135352.641512Z_synthetic_smoke_1fed0bac86,synthetic_smoke,completed,2026-07-17T13:53:52.752Z,2026-07-17T13:53:55.833Z,cb20541df5960a479fed9d3b2f349ce691116fdcaa87e0053621b264a7332d8e,unborn+dirty,,,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T135352.641512Z_synthetic_smoke_1fed0bac86
20260717T150922.156822Z_synthetic_smoke_1bdb81e876,synthetic_smoke,completed,2026-07-17T15:09:22.302Z,2026-07-17T15:09:28.017Z,dc369c98a1d0c2b9f930db13601673ecc615d68d7b0d218c8ae15518b1212dbe,unborn+dirty,98aa965ec2ef94f6642e65c2fe52445cc655975ed22270852406ea8853036e92,1d9a39bf5ad54b6112ae14bcc85a4e39ae754b9c56987dcfd31179fdf3aac1a1,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T150922.156822Z_synthetic_smoke_1bdb81e876
20260717T150932.739126Z_synthetic_smoke_zero_corruption_b284fd902b,synthetic_smoke_zero_corruption,completed,2026-07-17T15:09:32.894Z,2026-07-17T15:09:38.157Z,c589a9f6c5467681cf47ad4d14600296b01dccf3f435ed02f168effd232a73a5,unborn+dirty,41237daac3543447d964ce59a618d9a9008935c01f8174b02360299ef9f9be7b,4b8c639589dfd5783386636cf2d87f7626ac6bc42a80bc2032a104c2a41d1dfd,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T150932.739126Z_synthetic_smoke_zero_corruption_b284fd902b
20260717T151601.287570Z_synthetic_smoke_4a0f7482c3,synthetic_smoke,completed,2026-07-17T15:16:01.458Z,2026-07-17T15:16:07.666Z,dc369c98a1d0c2b9f930db13601673ecc615d68d7b0d218c8ae15518b1212dbe,unborn+dirty,98aa965ec2ef94f6642e65c2fe52445cc655975ed22270852406ea8853036e92,7313500b37ade6881dc90637d3d9845e3571e65ea36436fea65cb1c0e08bf587,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T151601.287570Z_synthetic_smoke_4a0f7482c3
20260717T151614.219455Z_synthetic_smoke_zero_corruption_c44a37b169,synthetic_smoke_zero_corruption,completed,2026-07-17T15:16:14.396Z,2026-07-17T15:16:19.880Z,c589a9f6c5467681cf47ad4d14600296b01dccf3f435ed02f168effd232a73a5,unborn+dirty,41237daac3543447d964ce59a618d9a9008935c01f8174b02360299ef9f9be7b,dcf1bf041c7dc81b0cded742a7fb97b46642257140b2b180a0e4f1968ce43bfb,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T151614.219455Z_synthetic_smoke_zero_corruption_c44a37b169
20260717T160729.608127Z_synthetic_smoke_161fc6dbf1,synthetic_smoke,completed,2026-07-17T16:07:29.753Z,2026-07-17T16:07:38.242Z,853f69cc4495cd85f3ef5459ab24ccac8cb8cad3fdb0589112de77dcdc58d7cf,unborn+dirty,bec62b2dec05195b3a3513cea9932be602c6dfef742be1d82786e94fb829e0b4,734b6bfe63a4af4d140985d9a7002efdef0069fd2ac45473b80c40c3d3539f57,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T160729.608127Z_synthetic_smoke_161fc6dbf1
20260717T160746.765685Z_synthetic_smoke_zero_corruption_bd7220ffe2,synthetic_smoke_zero_corruption,completed,2026-07-17T16:07:46.918Z,2026-07-17T16:07:55.066Z,6fea25bfa1a6066c9c8ee4b01fd896c10c0a6bdc734629bede4a34721dd11809,unborn+dirty,415de7cab5b0eaaa8440c461e8ec71b2f9ae3600efa51c6d69b9927785949440,f152da9e628579b58b365cbf7c562072b199329f5ccde758ffd26c1a502ddfb2,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T160746.765685Z_synthetic_smoke_zero_corruption_bd7220ffe2
20260717T161340.422530Z_synthetic_smoke_7536674e95,synthetic_smoke,completed,2026-07-17T16:13:40.597Z,2026-07-17T16:13:50.285Z,853f69cc4495cd85f3ef5459ab24ccac8cb8cad3fdb0589112de77dcdc58d7cf,unborn+dirty,bec62b2dec05195b3a3513cea9932be602c6dfef742be1d82786e94fb829e0b4,734b6bfe63a4af4d140985d9a7002efdef0069fd2ac45473b80c40c3d3539f57,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T161340.422530Z_synthetic_smoke_7536674e95
20260717T161401.937722Z_synthetic_smoke_zero_corruption_f2d7b2876c,synthetic_smoke_zero_corruption,completed,2026-07-17T16:14:02.109Z,2026-07-17T16:14:10.739Z,6fea25bfa1a6066c9c8ee4b01fd896c10c0a6bdc734629bede4a34721dd11809,unborn+dirty,415de7cab5b0eaaa8440c461e8ec71b2f9ae3600efa51c6d69b9927785949440,f152da9e628579b58b365cbf7c562072b199329f5ccde758ffd26c1a502ddfb2,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T161401.937722Z_synthetic_smoke_zero_corruption_f2d7b2876c
20260717T162925.902444Z_synthetic_smoke_5573505315,synthetic_smoke,completed,2026-07-17T16:29:26.067Z,2026-07-17T16:29:35.613Z,853f69cc4495cd85f3ef5459ab24ccac8cb8cad3fdb0589112de77dcdc58d7cf,unborn+dirty,bec62b2dec05195b3a3513cea9932be602c6dfef742be1d82786e94fb829e0b4,734b6bfe63a4af4d140985d9a7002efdef0069fd2ac45473b80c40c3d3539f57,202,303,404,C:\Users\NATAN\Documents\AANCA\artifacts\runs\20260717T162925.902444Z_synthetic_smoke_5573505315
