official_fold,nucleus_class_name,tissue_type,nucleus_count,source_patch_count,grouping_unit,independence_note
1,connective_soft_tissue,Adrenal_gland,442,97,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Bile-duct,1115,125,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Bladder,139,18,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Breast,3985,693,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Cervix,681,80,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Colon,3754,349,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Esophagus,1042,117,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,HeadNeck,381,42,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Kidney,181,27,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Liver,347,47,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Lung,530,61,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Ovarian,529,38,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Pancreatic,842,73,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Prostate,439,64,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Skin,336,40,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Stomach,394,47,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Testis,336,42,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Thyroid,511,70,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,connective_soft_tissue,Uterus,404,14,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,dead,Breast,7,2,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,dead,Cervix,50,5,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,dead,Colon,180,15,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,dead,Esophagus,12,4,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,dead,HeadNeck,8,1,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,dead,Lung,636,17,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,dead,Stomach,69,18,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,dead,Thyroid,2,1,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,dead,Uterus,3,2,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Adrenal_gland,92,47,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Bile-duct,721,87,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Bladder,8,7,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Breast,2256,462,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Cervix,783,113,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Colon,3175,274,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Esophagus,91,32,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,HeadNeck,443,24,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Kidney,108,14,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Liver,91,34,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Lung,94,24,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Ovarian,112,31,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Pancreatic,380,50,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Prostate,20,11,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Skin,921,41,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Stomach,494,33,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Testis,454,46,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Thyroid,190,47,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,inflammatory,Uterus,387,9,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Adrenal_gland,1360,103,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Bile-duct,1478,99,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Bladder,110,5,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Breast,7576,542,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Cervix,2230,84,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Colon,3067,118,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Esophagus,1971,84,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,HeadNeck,447,24,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Kidney,911,25,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Liver,614,41,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Lung,1510,72,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Ovarian,684,37,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Pancreatic,455,29,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Prostate,1141,54,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Skin,993,32,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Stomach,649,35,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Testis,423,31,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Thyroid,368,30,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,neoplastic,Uterus,214,7,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Adrenal_gland,336,18,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Bile-duct,97,13,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Bladder,4,1,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Breast,4578,186,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Cervix,62,6,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Colon,1836,166,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Esophagus,64,8,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,HeadNeck,65,8,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Kidney,40,4,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Liver,368,13,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Ovarian,119,7,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Pancreatic,163,9,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Prostate,124,8,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Skin,130,6,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Testis,265,14,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Thyroid,560,29,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
1,non_neoplastic_epithelial,Uterus,31,2,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Adrenal_gland,531,116,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Bile-duct,829,87,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Bladder,640,42,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Breast,3623,635,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Cervix,188,26,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Colon,3764,330,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Esophagus,1014,104,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,HeadNeck,1138,112,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Kidney,260,41,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Liver,431,54,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Lung,453,44,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Ovarian,347,28,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Pancreatic,1126,87,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Prostate,320,32,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Skin,475,60,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Stomach,389,45,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Testis,572,62,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Thyroid,559,76,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,connective_soft_tissue,Uterus,97,4,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,dead,Bile-duct,6,2,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,dead,Breast,6,1,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,dead,Cervix,6,2,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,dead,Colon,112,21,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,dead,Esophagus,48,5,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,dead,HeadNeck,34,6,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,dead,Lung,631,18,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,dead,Stomach,41,15,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Adrenal_gland,83,51,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Bile-duct,448,54,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Bladder,129,31,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Breast,2050,422,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Cervix,259,37,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Colon,3002,261,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Esophagus,110,43,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,HeadNeck,772,80,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Kidney,183,17,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Liver,109,44,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
2,inflammatory,Lung,95,23,source_patch,Separation was performed at source-patch level. Patient- and WSI-level independence could not be guaranteed from the released metadata.
