"citation_key","title","authors","year","venue","doi_or_arxiv","primary_source","verification_status","dataset","task","annotation_error_type","evaluation_protocol","main_relevance","limitations","difference_from_this_project"
"schuiveling2025puma","A novel dataset for nuclei and tissue segmentation in melanoma with baseline nuclei segmentation and tissue segmentation benchmarks","Mark Schuiveling; Hong Liu; Daniel Eek; Gerben E. Breimer; Karijn P. M. Suijkerbuijk; Willeke A. M. Blokx; Mitko Veta","2025","GigaScience 14, article giaf011","DOI 10.1093/gigascience/giaf011","https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giaf011/8024182","Verified Oxford Academic, PubMed and official challenge records on 2026-08-21","PUMA melanoma ROIs with nucleus and tissue annotations","Nucleus and tissue segmentation dataset and challenge benchmarks","Final expert-checked annotations; no stable paired natural pre/post correction endpoint","Dataset construction and segmentation/classification baselines","Primary provenance for the frozen AANCA PUMA new-source controlled confirmation","Single source family; final reference labels are not guaranteed biological truth or paired natural error evidence","Provides the new image source; AANCA separately evaluates group-safe controlled annotation auditing and downstream intervention"
"gamper2019pannuke","PanNuke: An Open Pan-Cancer Histology Dataset for Nuclei Instance Segmentation and Classification","Jevgenij Gamper; Navid Alemi Koohbanani; Ksenija Benet; Ali Khuram; Nasir Rajpoot","2019","Digital Pathology, LNCS 11435 (ECDP 2019), pp. 11-19","DOI 10.1007/978-3-030-23937-4_2","https://link.springer.com/chapter/10.1007/978-3-030-23937-4_2","Verified publisher record; reported counts are original-stage counts, not assumed release truth","PanNuke original stage; 19 tissue types","Nucleus instance segmentation and classification dataset construction and baselines","Semi-automatic labels followed by expert validation; not an error benchmark","Dataset construction and nucleus segmentation/classification evaluation","Primary provenance for PanNuke and its annotation workflow","Original-stage counts differ from the extension description; current release files and metadata not verified by the paper alone","Provides the dataset; does not rank potentially inconsistent labels with group-safe OOF evidence or review-budget restoration"
"gamper2020pannukeextension","PanNuke Dataset Extension, Insights and Baselines","Jevgenij Gamper; Navid Alemi Koohbanani; Ksenija Benes; Simon Graham; Mostafa Jahanifar; Syed Ali Khurram; Ayesha Azam; Katherine Hewitt; Nasir Rajpoot","2020","arXiv preprint","arXiv 2003.10778","https://arxiv.org/abs/2003.10778","Verified arXiv record; no separate peer-reviewed venue or venue DOI verified","PanNuke extension; five positive classes; 19 tissue types","Nucleus segmentation and classification dataset extension, statistics, and baselines","Semi-automatic annotations with clinical-pathologist quality control; not a controlled error audit","Descriptive dataset analysis and model baselines; full text reports 481 fields and 189,744 nuclei","Primary source for extended dataset and five-class framing","Preprint; release counts/arrays/folds/current download and stronger source identifiers still require file inspection","Does not evaluate label-risk rankings, group-safe OOF review efficiency, or restoration"
"northcutt2021confidentlearning","Confident Learning: Estimating Uncertainty in Dataset Labels","Curtis G. Northcutt; Lu Jiang; Isaac L. Chuang","2021","Journal of Artificial Intelligence Research 70, pp. 1373-1411","DOI 10.1613/jair.1.12125; arXiv 1911.00068","https://www.jair.org/index.php/jair/article/view/12125","Verified journal and Crossref record","Multiple benchmark datasets across modalities","Estimate label-noise joint distribution and identify label issues","Primarily class-conditional label-noise formulation","Counting, pruning, and ranking using predicted class probabilities","Core algorithmic prior art for label-quality auditing","Assumptions can be violated by instance- and group-dependent histopathology errors; flags are not medical truth","General estimator; this project adds source-group-safe OOF generation, nucleus features, controlled mechanisms, fixed budgets, and restoration"
"cleanlab2026docs","Cleanlab Documentation: Stable Release","Cleanlab Inc.","2026","Official software documentation, version 2.7.1 on search date","Version 2.7.1; no DOI","https://docs.cleanlab.ai/stable/","Verified official documentation on 2026-07-17; local Cleanlab 2.9.0 passed functional get_label_quality_scores and find_label_issues calls on saved group-safe OOF probabilities","User-supplied labels and predicted class probabilities","Find and rank label issues","Depends on estimator and probabilities; not a pathology error ontology","find_label_issues and get_label_quality_scores; lower documented quality means more suspicious","Exact current API semantics; supports passing externally generated OOF probabilities","Stable web docs resolved to 2.7.1 while the runtime is 2.9.0; the functional API passed locally, but ordinary CV does not itself prove source-group separation","Project must generate group-safe OOF probabilities, preserve raw quality, and transform risk as 1 minus quality"
"goswami2023aqua","AQuA: A Benchmarking Tool for Label Quality Assessment","Mononito Goswami; Vedant Sanil; Arjun Choudhry; Arvind Srinivasan; Chalisa Udompanyawit; Artur Dubrawski","2023","NeurIPS 2023 Datasets and Benchmarks Track","arXiv 2306.09467; no venue DOI verified","https://papers.nips.cc/paper_files/paper/2023/hash/fc20ea8d104cab737a5561096f9bde9b-Abstract-Datasets_and_Benchmarks.html","Verified official proceedings and arXiv records","17 datasets spanning image, text, time-series, and tabular data","Benchmark label-quality assessment methods","Seven settings including uniform, asymmetric, class-dependent, instance-dependent, and multi-annotator noise","Compares several methods using AP, ROC-AUC, precision, recall, F1, accuracy, and error measures","Benchmark-design precedent and evidence that rankings depend on modality/noise/metric","Not pathology- or nucleus-specific; no source-patch-safe OOF protocol identified; synthetic noise may not reflect natural noise","Project narrows to nuclei, enforces group-safe OOF, tests equal review budgets/restoration, and separates controlled from external evidence"
"galvezjimenez2024imperfectannotations","Impact of Imperfect Annotations on CNN Training and Performance for Instance Segmentation and Classification in Digital Pathology","Laura Gálvez Jiménez; Christine Decaestecker","2024","Computers in Biology and Medicine 177, 108586","DOI 10.1016/j.compbiomed.2024.108586; arXiv 2410.14365","https://www.sciencedirect.com/science/article/pii/S0010482524006711","Verified publisher and Crossref record","Simplified PanNuke and MoNuSAC","Measure effects of imperfect annotations on HoVer-Net training and performance","Controlled detection, contour/segmentation, and classification annotation imperfections","Train/evaluate under annotation perturbations; examine clean validation and pretraining","Closest dataset-adjacent evidence that annotation imperfections matter","Not an audit ranking study; mixes error types; operational clean reference is not guaranteed biological truth","Project audits class labels of already segmented instances and evaluates AP/lift plus equal-budget restoration"
"dedieu2024labelnoiseresilient","Contrastive-Based Deep Embeddings for Label Noise-Resilient Histopathology Image Classification","Lucas Dedieu; Nicolas Nerrienet; Adrien Nivaggioli; Clara Simmat; Marceau Clavel; Arnaud Gauthier; Stéphane Sockeel; Rémy Peyret","2024","arXiv preprint","arXiv 2404.07605","https://arxiv.org/abs/2404.07605","Verified arXiv record; no separate peer-reviewed venue or venue DOI verified","NCT-CRC-HE-100K; PatchCamelyon; BACH; MHIST; LC25000; GasHisSDB","Histopathology patch classification under label noise using frozen embeddings","Synthetic uniform and asymmetric label noise","Compare contrastive and non-contrastive frozen representations and noise-resilient methods across six datasets","Direct support for testing pathology/self-supervised representations under label noise","Synthetic noise only; patch-level not nucleus-level; smaller datasets less stable; does not identify individual bad labels","Supports H6 as a hypothesis but does not provide group-safe OOF ranking or review/restoration evaluation"
"groeger2026cleanpatrick","CleanPatrick: A Benchmark for Image Data Cleaning","Fabian Gröger; Simone Lionetti; Philippe Gottfrois; Alvaro Gonzalez-Jimenez; Ludovic Amruthalingam; Elisabeth Victoria Goessinger; Hanna Lindemann; Marie Bargiela; Marie Hofbauer; Omar Badri; Philipp Tschandl; Arash Koochek; Matthew Groh; Alexander A. Navarini; Marc Pouly","2026","Accepted at Journal of Data-centric Machine Learning Research according to arXiv v2","arXiv 2505.11034; no venue DOI/volume/pages verified","https://arxiv.org/abs/2505.11034","Verified arXiv v2 and stated DMLR acceptance; incomplete final venue metadata","Fitzpatrick17k dermatology images; 496,377 binary judgements from 933 medical crowd workers","Rank real-world off-topic images, near-duplicates, and label issues","Naturally occurring content, duplicate, and label-quality issues with crowd and expert review","Ranking benchmark using AP, AUROC, precision/recall at k, and review-budget-oriented comparisons","Direct evidence for the synthetic-to-real cleaning gap and audit-oriented evaluation","Dermatology photographs, not H&E nuclei; binary judgements and issue ontology differ; numerical results are not transferable","Project uses controlled five-class nucleus corruption first, then explicitly separate natural/external validation"
"amgad2022nucls","NuCLS: A Scalable Crowdsourcing Approach and Dataset for Nucleus Classification and Segmentation in Breast Cancer","Mohamed Amgad; Lamees A. Atteya; Hagar Hussein; Kareem Hosny Mohammed; Ehab Hafiz; Maha A. T. Elsebaie; Ahmed M. Alhusseiny; Mohamed Atef AlMoslemany; Abdelmagid M. Elmatboly; Philip A. Pappalardo; Rokia Adel Sakr; Pooya Mobadersany; Ahmad Rachid; Anas M. Saad; Ahmad M. Alkashash; Inas A. Ruhban; Anas Alrefai; Nada M. Elgazar; Ali Abdulkarim; Abo-Alela Farag; Amira Etman; Ahmed G. Elsaeed; Yahya Alagha; Yomna A. Amer; Ahmed M. Raslan; Menatalla K. Nadim; Mai A. T. Elsebaie; Ahmed Ayad; Liza E. Hanna; Ahmed Gadallah; Mohamed Elkady; Bradley Drumheller; David Jaye; David Manthey; David A. Gutman; Habiba Elfandy; Lee A. D. Cooper","2022","GigaScience 11, giac037","DOI 10.1093/gigascience/giac037","https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giac037/6586817","Verified publisher and Crossref record","Breast-cancer nuclei from TCGA; 222,396 annotations; single- and multi-rater regions","Crowdsourced nucleus classification/segmentation and truth inference","Inter-rater disagreement, annotator variation, and suggestion-assisted annotations","32 non-pathologists and 7 pathologists; single/multi-rater evaluation and aggregation","Strong candidate for external multi-rater validation of risk versus disagreement/consensus","Breast-only taxonomy/workflow; PanNuke class mapping unresolved; consensus is not guaranteed biological truth","External evidence rather than injected-noise recovery; needs separate endpoint, mapping, and resampling plan"
